Time_s,DetectorVoltage_V,Power_dB,RelativeAmplitude,RelativePower
97.154,0.699,27.96,0.552077439280757,0.304789498962798
97.178,0.621,24.84,0.385478357665772,0.148593564228701
97.178,0.699,27.96,0.552077439280757,0.304789498962798
97.201,0.647,25.88,0.434510224171572,0.188799134909629
97.201,0.518,20.72,0.239883291901949,0.0575439937337157
97.221,0.647,25.88,0.434510224171572,0.188799134909629
97.221,0.544,21.76,0.270395836410884,0.0731139083483418
97.241,0.324,12.96,0.0981747943019985,0.00963829023623972
97.241,0.582,23.28,0.322106879128343,0.103752841581801
97.26,0.311,12.44,0.0924698173938222,0.00855066712884683
97.28,0.414,16.56,0.148593564228701,0.022080047330189
97.28,0.427,17.08,0.157761126969935,0.0248885731828239
97.299,0.349,13.96,0.110153930954142,0.0121338885046498
97.299,0.582,23.28,0.322106879128343,0.103752841581801
97.318,0.259,10.36,0.0727779804536824,0.00529663443891658
97.337,0.556,22.24,0.285759054337495,0.0816582371358593
97.337,0.168,6.72,0.0478630092322639,0.00229086765276777
97.357,0.531,21.24,0.254683025258504,0.0648634433548238
97.376,0.647,25.88,0.434510224171572,0.188799134909629
97.376,0.518,20.72,0.239883291901949,0.0575439937337157
97.394,0.634,25.36,0.409260659730011,0.167494287602644
97.394,0.686,27.44,0.519995996533516,0.270395836410885
97.412,0.608,24.32,0.363078054770101,0.131825673855641
97.432,0.686,27.44,0.519995996533516,0.270395836410885
97.433,0.712,28.48,0.586138164514029,0.343557947899875
97.45,0.686,27.44,0.519995996533516,0.270395836410885
97.468,0.699,27.96,0.552077439280757,0.304789498962798
97.468,0.712,28.48,0.586138164514029,0.343557947899875
97.49,0.699,27.96,0.552077439280757,0.304789498962798
97.49,0.712,28.48,0.586138164514029,0.343557947899875
97.507,0.686,27.44,0.519995996533516,0.270395836410885
97.527,0.712,28.48,0.586138164514029,0.343557947899875
97.527,0.699,27.96,0.552077439280757,0.304789498962798
97.547,0.634,25.36,0.409260659730011,0.167494287602644
97.565,0.699,27.96,0.552077439280757,0.304789498962798
97.565,0.647,25.88,0.434510224171572,0.188799134909629
97.584,0.531,21.24,0.254683025258504,0.0648634433548238
97.584,0.66,26.4,0.461317574560379,0.212813904598271
97.605,0.569,22.76,0.303389118419427,0.0920449571753171
97.623,0.285,11.4,0.0820351544329818,0.00672976656284318
97.624,0.595,23.8,0.341979442513709,0.116949939101987
97.642,0.362,14.48,0.116949939101987,0.0136772882559585
97.661,0.401,16.04,0.139958732257262,0.0195884467350599
97.661,0.44,17.6,0.167494287602644,0.0280543363795171
97.68,0.311,12.44,0.0924698173938222,0.00855066712884683
97.68,0.569,22.76,0.303389118419427,0.0920449571753171
97.698,0.181,7.24,0.0508159442560561,0.0025822601906346
97.717,0.544,21.76,0.270395836410884,0.0731139083483418
97.717,0.647,25.88,0.434510224171572,0.188799134909629
97.736,0.505,20.2,0.225943577022098,0.0510504999975407
97.755,0.634,25.36,0.409260659730011,0.167494287602644
97.755,0.453,18.12,0.177827941003892,0.0316227766016838
